Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
&Aacute;gua Branca,2500106,agua branquense,MARLUCE PEREIRA VERAS DE BRITO,241.662,9335,38.63,9580,99.2,0.572,15.87,72684807.18,69838138.4,8870.96,
Aguiar,2500205,aguiarense,MANOEL BATISTA GUEDES FILHO,351.607,5003,14.23,5026,99.49,0.597,-,52615382.76,49447163.14,10689.52,
Alagoa Grande,2500304,alagoa-grandense,JOAO BOSCO CARNEIRO NETO,322.071,26062,80.92,26655,97.48,0.582,16.13,128587326.42,137152270.28,10573.42,
Alagoa Nova,2500403,alagoa-novense,FRANCINILDO PIMENTEL DA SILVA,128.230,21013,163.87,21823,99.38,0.576,9.71,116094031.23,103542330,15961.14,
Alagoinha,2500502,alagoinhense,ALIRIO CLAUDINO DE PONTES FILHO,111.361,13725,123.25,14140,99.01,0.595,-,89064852.7,85182740.34,9468.2,
Alcantil,2500536,alcantilense,CICERO JOSE FERNANDES DO CARMO,309.896,5578,18.00,5806,98.8,0.578,-,63880592.21,55862754.22,9968.7,
Algod&atilde;o de Janda&iacute;ra,2500577,algodoense,HUMBERTO DOS SANTOS,222.740,2953,13.26,3143,100,0.548,-,34643365.21,31700161.95,11062.36,
Alhandra,2500601,alhandrense,MARCELO RODRIGUES DA COSTA,183.974,21730,118.11,23065,97.89,0.582,5.49,231746486.24,200949165,171143.98,
S&atilde;o Jo&atilde;o do Rio do Peixe,2500700,s&atilde;o-joanense,LUIZ CLAUDINO DE CARVALHO FLORENCIO,476.237,17964,37.72,18500,99.75,0.608,12.5,143708227.74,135018335.54,12515.6,
Amparo,2500734,amparense,TARCIO GABRIEL ALVES DE BRITO RAFAEL,122.094,2234,18.30,2328,100,0.606,-,31251966.92,29400461.21,13000.44,
Aparecida,2500775,aparecidense,JO&Atilde;O RABELO DE S&Aacute; NETO,291.478,7960,27.31,8257,100,0.578,-,53417036.2,46868604.95,12405.76,
Ara&ccedil;agi,2500809,ara&ccedil;agiense,JOSILDA MACENA BEN&Iacute;CIO LEITE,232.177,16646,71.70,16991,98.4,0.549,10.75,99467312.44,91419732.18,11026.72,
Arara,2500908,araraense,AMARILDO CARVALHO PEREIRA FILHO,91.306,12212,133.75,12482,98.78,0.548,8.7,53831544.54,51220236.31,8250.02,
Araruna,2501005,ararunense,AVAILDO LUIS DE ALC&Acirc;NTARA AZEVEDO,246.717,17189,69.67,17360,98.53,0.567,9.57,87669712.74,78490578.78,9912.59,
Areia,2501104,areiense,SILVIA CESAR FARIAS DA CUNHA LIMA,269.130,22633,84.10,23031,98.87,0.594,11.11,114977215.63,105316904.79,11435.64,
Areia de Bara&uacute;nas,2501153,baraunense,ANTONIO GERONIMO DUARTE MACEDO,114.078,2005,17.58,2027,98.38,0.562,-,31673138.3,28145989.45,12396.9,
Areial,2501203,areialense,CARLOS HENRIQUE PEREIRA BALBINO,35.810,7128,199.05,7434,99.17,0.608,39.47,47913326.98,45788410.7,8871.24,
Aroeiras,2501302,aroeirense,DOMINGOS MARQUES BARBOSA FILHO,376.118,18705,49.73,19142,97.03,0.548,22.64,104925530.94,103893249.73,8803.78,
Assun&ccedil;&atilde;o,2501351,assun&ccedil;&atilde;oense,WAGNER FELIPE DE OLIVEIRA VILAR,132.139,4152,31.42,4383,98.44,0.609,-,39014135.43,35505445.42,11924.64,
Ba&iacute;a da Trai&ccedil;&atilde;o,2501401,baianense,ELIZABETE DE OLIVEIRA,102.756,9224,89.77,9741,98.2,0.581,12.35,68305814.38,62666624.37,11727.05,
Bananeiras,2501500,bananeirense,MATHEUS DE MELO BEZERRA CAVALCANTI,255.641,23134,90.49,24134,97.53,0.568,3.76,127877317.97,132429767.89,13143.47,
Bara&uacute;na,2501534,baraunense,AUSTRYANEE JERONIMO DOS SANTOS,50.030,4762,95.18,5010,99.44,0.558,17.54,37550428.42,38043063.63,9891.45,
Barra de Santana,2501575,barrasantense,CLEOCELIO NAZARENO BARRETO,375.177,8059,21.48,8247,99.6,0.567,-,52099199.14,49172038.59,10889.99,
Barra de Santa Rosa,2501609,santa rosense,ALEX SANDRO AZEVEDO VIEIRA,781.187,12904,16.52,13024,98.78,0.562,21.9,83323087.55,85267479.95,9665.19,
Barra de S&atilde;o Miguel,2501708,barrense,JO&Atilde;O PAULO FRAN&Ccedil;A,609.697,5906,9.69,6123,99.64,0.572,10.99,54079042,53561022.02,13915.49,
Bayeux,2501807,bayeuxense,TARCYANNA MACEDO MOTA LEIT&Atilde;O,27.705,82742,2986.54,83862,98.19,0.649,17.02,353091445.49,370177780.07,14016.16,
Bel&eacute;m,2501906,belenense,ALINE BARBOSA DE LIMA,99.609,16401,164.65,16710,98.61,0.592,17.14,90183872.55,81096785.08,12297.24,
Bel&eacute;m do Brejo do Cruz,2502003,belenense do brejo do cruz,LEOMAR J&Acirc;NIO DE MEDEIROS MAIA,601.549,6268,10.42,6272,98,0.578,-,50125203.95,48957119.84,10679.3,
Bernardino Batista,2502052,batistense,ANTONIO ALDO ANDRADE DE SOUSA,57.453,3504,60.99,3677,100,0.558,18.52,51527482.52,43944854.53,11211.72,
Boa Ventura,2502102,boa-venturense,MANOEL VITAL NETO,168.664,5207,30.87,5246,99.59,0.599,12.05,38185332.74,32835400.05,9835.17,
Boa Vista,2502151,boavistense,JOS&Eacute; FERNANDO LEITE AIRES,468.933,6377,13.60,6592,99.58,0.649,-,62161149.6,50278934.56,28593.35,
Bom Jesus,2502201,bom-jesuense,DENISE BANDEIRA DE MELO BARBOSA PEREIRA,47.367,2286,48.26,2328,95.69,0.597,-,38801736.13,36908669.91,12384.4,
Bom Sucesso,2502300,bom-sucessense,MANOEL TAIRIS DUARTE,186.059,4661,25.05,4720,99.61,0.592,30.3,52659662.05,44439995.65,11041.7,
Bonito de Santa F&eacute;,2502409,bonitense,ANTONIO LUCENA FILHO,226.798,10252,45.20,10433,96.18,0.574,17.54,65814818.15,60750762.4,7962.14,
Boqueir&atilde;o,2502508,boqueir&atilde;oense,JO&Atilde;O MARCOS DE FREITAS,373.077,17598,47.17,18216,99.41,0.607,17.09,100158324.4,89625565.79,14310.05,
Igaracy,2502607,igaraciense,EDNAILTON SABINO DA SILVA,197.058,5648,28.66,5719,98.89,0.610,31.75,40071844.25,38330119.2,9976.11,
Borborema,2502706,borboremense,JOS&Eacute; AMANCIO DA FONS&Ecirc;CA RAMALHO,26.107,4214,161.41,4185,99.37,0.558,46.15,38364749.49,30828961.99,13030.55,
Brejo do Cruz,2502805,brejo-cruzense,TALES TORRICELLI DE SOUSA COSTA E SILVA,401.315,13613,33.92,14095,98.86,0.597,5.56,98960069.98,84672916.09,10299.88,
Brejo dos Santos,2502904,brejo-santense,MARIA LUCIENE DE OLIVEIRA ALMEIDA,93.857,5742,61.18,5816,97.88,0.619,29.85,42550047.2,40161206.61,9926.14,
Caapor&atilde;,2503001,caapor&atilde;ense,FRANCISCO NAZARIO DE OLIVEIRA,151.018,21193,140.33,21942,99.51,0.602,3.82,134826919.24,137699601.89,21157.09,
Cabaceiras,2503100,cabaceirense,RICARDO JORGE DE FARIAS AIRES,469.171,5335,11.37,5537,100,0.611,-,55995822.89,61324757.93,20400.58,
Cabedelo,2503209,cabedelense,ANDRE LUIS ALMEIDA COUTINHO,29.873,66519,2226.73,70734,98.97,0.748,11.34,590335453.08,555749713.44,45182.89,
Cachoeira dos &Iacute;ndios,2503308,cachoeirense (dos &Iacute;ndios),ALYSON FRANCISCO DE MOURA SOUSA,193.215,9151,47.36,9335,99.25,0.587,34.19,55536915.15,55163306.27,12042.75,
Cacimba de Areia,2503407,cacimbense (de Areia),HEITOR CARNEIRO CAMPOS,213.019,3291,15.45,3344,99.09,0.596,23.26,32137661.62,29938637.27,10546.32,
Cacimba de Dentro,2503506,cacimbense (de Dentro),POLLYANNO HENRIQUE PEREIRA,165.072,16064,97.32,16332,98.27,0.564,9.9,80297952.92,80666487.21,8971.73,
Cacimbas,2503555,cacimbense,NILTON DE ALMEIDA,124.068,7223,58.22,7513,98.95,0.523,36.5,66548251.04,59272328.14,9287.68,
Cai&ccedil;ara,2503605,cai&ccedil;arense,TARCISIO ALBERTO LOPES SOARES,123.677,6602,53.38,6684,98.33,0.592,-,45188165.9,41684354.7,9142.39,
Cajazeiras,2503704,cajazeirense,MARIA DO SOCORRO DELFINO PEREIRA,562.703,63239,112.38,66585,99.25,0.679,10.23,320033239.75,325350749.98,19683.9,
Cajazeirinhas,2503753,cajazeirinhense,LUANA MARA DE ALMEIDA,282.693,2740,9.69,2760,98.47,0.550,-,35559881.1,31266131.93,13058.29,
Caldas Brand&atilde;o,2503803,caldas-brandense,F&Aacute;BIO ROLIM PEIXOTO,55.963,5753,102.80,5942,98.76,0.568,35.71,52353428.98,49310898.63,12293.26,
Camala&uacute;,2503902,camalauense,UBIRAJARA ANTONIO PEREIRA MARIANO,541.841,6085,11.23,6327,99.72,0.567,-,40681462.25,35650702.18,11845.53,
Campina Grande,2504009,campinense,BRUNO CUNHA LIMA BRANCO,591.658,419379,708.82,443911,98.79,0.720,15.62,1948560911.37,2007945487.2,25066.11,
Capim,2504033,capiense,CARLYANNE SOARES BORBA,79.876,6970,87.26,7446,98.15,0.533,17.39,46842537.43,46788066.59,11264.11,
Cara&uacute;bas,2504074,cara&uacute;bense,NERIVAN ALVARES DE LIMA,486.622,3944,8.10,4067,97.37,0.585,15.87,37153720.49,31200738.55,10032.69,
Carrapateira,2504108,carrapateirense,IARLEY PEREIRA BEZERRA,59.070,2312,39.14,2365,100,0.603,-,37211877.4,34510600.07,11403.91,
Casserengue,2504157,cassereguense,ANTONIO JUDIVAN DE SOUSA,202.761,6889,33.98,7052,98.79,0.514,-,46911657.25,40802660.65,9298.49,
Catingueira,2504207,catingueirense,SUELIO FELIX DE ALENCAR,527.424,4491,8.51,4556,99.17,0.574,-,44385022.3,40954715.43,10712.59,
Catol&eacute; do Rocha,2504306,catoleense,LAURO ADOLFO MAIA SERAFIM,551.765,30661,55.57,32288,99.71,0.640,5.9,143066884.45,127208033.46,16405.68,
Caturit&eacute;,2504355,caturiteense,ITAMILSON FRANCISCO DA SILVA,117.823,5254,44.59,5544,99.77,0.623,14.93,44950256.49,39992561.46,12589.86,
Concei&ccedil;&atilde;o,2504405,concei&ccedil;&atilde;oense,SAMUEL SOARES LAVOR DE LACERDA,580.650,18260,31.45,18731,98.16,0.592,13.76,104833747.82,92606127.84,10983.17,
Condado,2504504,condadense,CAIO RODRIGO BEZERRA PAIX&Atilde;O,265.473,6451,24.30,6629,100,0.594,14.71,44383172.46,40105049.02,13565.45,
Conde,2504603,condense,KARLA MARIA MARTINS PIMENTEL,171.267,27605,161.18,30007,98.79,0.618,12.66,238729390.08,206646998.84,50786.89,
Congo,2504702,congoense,FLAVIA EMANOELA SOUSA PEREIRA QUIRINO,324.686,4933,15.19,5124,98.36,0.581,-,45362936.16,42276946.1,12890.01,
Coremas,2504801,coremense,EDILSON PEREIRA DE OLIVEIRA,372.012,14683,39.47,14987,97.06,0.592,17.75,90064786.23,84130368.96,16167.95,
Coxixola,2504850,coxixolense,NELSON JOS&Eacute; NEVES HONORATO,173.942,1824,10.49,1888,100,0.641,47.62,28086160.56,25975721.94,12328.94,
Cruz do Esp&iacute;rito Santo,2504900,Santo esp&iacute;rito-santense,ALINY CIBELY CUNHA DA SILVA FARIAS,192.512,17095,88.80,17821,98.93,0.552,3.56,95754222.91,86254133.17,10863.92,
Cubati,2505006,cubatiense,JOSE RIBEIRO DE OLIVEIRA,163.570,7580,46.34,7842,99.32,0.566,12.35,57956516.61,52803095.38,9765.34,
Cuit&eacute;,2505105,cuiteense,CAIO TIB&Eacute;RIO BARBALHO IN&Aacute;CIO DA SILVA,733.818,19719,26.87,20208,99.41,0.591,13.7,106274570.43,115188141.13,10842.53,
Cuitegi,2505204,cuitegiense,GUILHERME CUNHA MADRUGA JUNIOR,42.091,6730,159.89,6890,99.62,0.570,-,47823445.32,49953080.83,9890.58,
Cuit&eacute; de Mamanguape,2505238,cuiteense,H&Eacute;LIO SEVERINO DE SOUZA,107.680,6251,58.05,6441,99.34,0.524,40.82,56615300.22,54437095.12,11652.59,
Curral de Cima,2505279,curralense de cima,ADJAMIR SOUZA DA SILVA,86.428,5254,60.79,5415,98.69,0.529,-,50205435.67,52357125.08,10659.61,
Curral Velho,2505303,curral-velhense,T&Aacute;CIO SAMUEL BARBOSA DINIZ,217.624,2292,10.53,2316,98.48,0.606,-,41729060.26,35392234.28,10679.09,
Dami&atilde;o,2505352,dami&atilde;oense,SIMONE DE AZEVEDO SANTOS CASADO,186.198,4982,26.76,5141,99.59,0.521,16.39,39366545.72,35292396.15,9294.97,
Desterro,2505402,desterrense,TIAGO SIM&Otilde;ES DOS SANTOS,182.018,8067,44.32,8314,100,0.580,35.09,60159641.67,59633957.09,8727.17,
Vista Serrana,2505501,vista-serranense,EMMANUEL DA NOBREGA DIAS,60.390,3641,60.29,3772,99.26,0.566,-,37393785.38,32472730,10231.1,
Diamante,2505600,diamantense,HERMES MANGUEIRA DINIZ FILHO,271.791,6299,23.18,6416,98.54,0.593,11.49,43512020.86,40150624.79,9121.54,
Dona In&ecirc;s,2505709,inesense,ANTONIO JUSTINO DE ARAUJO NETO,173.648,10380,59.78,10638,99.72,0.545,8.4,69024534.84,70227615.45,9043.88,
Duas Estradas,2505808,duas-estradense,MYLLENA NAYARA LEANDRO NUNES,27.012,3327,123.17,3360,99.54,0.603,-,35498555.8,31107942.72,12615.62,
Emas,2505907,emense,ANA ALVES DE ARA&Uacute;JO LOUREIRO,248.226,3011,12.13,3036,99.26,0.595,-,35488176.45,31870187.04,11709.62,
Esperan&ccedil;a,2506004,esperancense,THIAGO DE ASSIS MORAES,157.851,31231,197.85,32599,99.77,0.623,13.07,144665209.7,156106505.19,15193.67,
Fagundes,2506103,fagundense,WILMAR LEMOS MARANH&Atilde;O J&Uacute;NIOR,185.061,11049,59.70,11307,100,0.560,-,62927382.91,52563814.39,9419.68,
Frei Martinho,2506202,frei-martinhense,SEBASTI&Atilde;O PINTO DANTAS,238.658,2846,11.93,2911,100,0.641,-,32179432.45,28772269.79,10125.12,
Gado Bravo,2506251,gadobravense,MARCELO PAULINO DA SILVA,192.420,8179,42.51,8398,100,0.513,20.83,58216569.62,52753529.93,9190.85,
Guarabira,2506301,guarabirense,MARIA HAILEA ARAUJO TOSCANO,162.387,57484,353.99,60057,99.07,0.673,6.47,253130686.89,240379840.37,30143.08,
Gurinh&eacute;m,2506400,gurinheense,TARCISIO SAULO DE PAIVA,340.408,13766,40.44,14141,98.8,0.556,5.56,94195361.47,91102368.38,10688.13,
Gurj&atilde;o,2506509,gurjaense,JOS&Eacute; ELIAS BORGES BATISTA,344.502,3242,9.41,3352,100,0.625,29.41,34476477.52,29243223.67,11022.19,
Ibiara,2506608,ibiarense,LUCINEIDE VIEIRA PEREIRA,240.357,5631,23.43,5713,99.21,0.586,-,37949317.81,32615011.68,9830.27,
Imaculada,2506707,imaculadense,ALDO LUSTOSA DA SILVA,317.804,10392,32.70,10497,100,0.557,16.39,60110950.08,57091719.14,8277.65,
Ing&aacute;,2506806,ingaense,JANDERSON DE OLIVEIRA CHAVES,262.179,17692,67.48,18234,99.13,0.592,10.05,114307183.71,103851099.86,10721.55,
Itabaiana,2506905,itabaianense,JOSE CLAUDIO CHAVES CAVALCANTE NETO,210.572,23182,110.09,23558,98.08,0.613,21.43,105335642.65,90027794.45,13783.7,
Itaporanga,2507002,itaporanguense,AZIF DAVI LEMOS,460.210,23940,52.02,24766,98.43,0.615,9.15,109068539.05,102104866.76,13671.27,
Itapororoca,2507101,itapororoquense,JOAO BATISTA SANTOS DA SILVA,145.807,18382,126.07,19165,99.59,0.564,10.38,111521534.09,100018933.45,10877.47,
Itatuba,2507200,itatubense,JOSMAR LACERDA MARTINS,251.749,10499,41.70,10840,99.48,0.562,13.61,59963803.87,57406190.9,14022.61,
Jacara&uacute;,2507309,jacarauense,M&Aacute;RCIO AURELIO MADRUGA CRUZ,256.845,14477,56.36,14969,99.59,0.558,-,104405341.73,104461185.61,11414.24,
Jeric&oacute;,2507408,jericoense,KADSON VALBERTO LOPES MONTEIRO,177.356,7516,42.38,7728,99.35,0.603,13.33,48804329.07,46628953.67,9844.33,
Jo&atilde;o Pessoa,2507507,pessoense,CICERO DE LUCENA FILHO,210.044,833932,3970.27,897633,97.57,0.763,12.58,4800808170.95,4541626554.45,26936.78,
Juarez T&aacute;vora,2507606,tavorense,WILSON EVANGELISTA FEITOSA,75.678,7796,103.02,8088,98.93,0.579,19.23,46709769.12,43936447.94,9124.1,
Juazeirinho,2507705,juazeirinhense,ANNA VIRGINIA DE BRITO MATIAS,474.606,17007,35.83,17520,98.61,0.567,32.14,116726656.35,103868537.03,11417.26,
Junco do Serid&oacute;,2507804,juncoense,PAULO NEIDE MELO FRAGOSO,180.425,6793,37.65,7019,99.46,0.617,18.18,47559629.26,43281073.81,13346.55,
Juripiranga,2507903,juripiranguense,ANTONIO MAROJA GUEDES FILHO,78.706,10012,127.21,10255,98.29,0.548,7.94,75474264.99,65324478.91,10836.82,
Juru,2508000,juruense,SOLANGE MARIA FELIX BARBOSA,395.075,9234,23.37,9380,99.28,0.570,-,58626451.65,56660682.37,8876.57,
Lagoa,2508109,lagoense,MARIA RODRIGUES LINHARES DE LIMA,176.649,4415,24.99,4489,96.26,0.563,21.28,37084042.22,32578517.21,11041.33,
Lagoa de Dentro,2508208,lagoa-dentrense,CAMAF DOUGLAS DA SILVA MOREIRA,83.508,7819,93.63,8123,98.23,0.570,19.05,55595907.23,51945490.48,10773.37,
Lagoa Seca,2508307,lagoa-sequense,MICHELLE RIBEIRO DO NASCIMENTO,108.219,27730,256.24,29209,98.82,0.627,6.19,139930136.74,140439526.82,11171.49,
Lastro,2508406,lastrense,RONALDO GONCALVES SOARES SOBRINHO,107.416,3162,29.44,3316,100,0.533,-,34873236.6,33098924.89,10932.15,
Livramento,2508505,livramentense,ERNANDES BARBOZA N&Oacute;BREGA,266.948,6877,25.76,7041,99.25,0.566,10.75,44352213.17,40132645.92,9629.25,
Logradouro,2508554,logradourense,JOS&Eacute; MARINALDO DA CRUZ,42.876,4797,111.88,5107,100,0.583,57.14,40073795.7,38140259.72,11041.91,
Lucena,2508604,lucenense,LEOMAX DA COSTA BANDEIRA,93.800,12560,133.90,13088,97.75,0.583,5.52,80861737.83,85275516.02,16716.6,
M&atilde;e d'&Aacute;gua,2508703,m&atilde;e-daguense,JUCELIO PEREIRA MOURA,228.676,3583,15.67,3599,99.26,0.542,32.26,32692971.03,29486276.2,9680.02,
Malta,2508802,maltense,ANA MARIA PEIXOTO DE ARAUJO,172.010,6046,35.15,6288,99.29,0.642,-,42560890.7,39826109.25,13865.76,
